actual_explainer_model_a,actual_explainer_model_b,arm_a,arm_b,athlete_band,explainer_model_a,explainer_model_b,explainer_temperature_a,explainer_temperature_b,explainer_verified_a,explainer_verified_b,feature_gaps,fixture_id,generation_condition_a,generation_condition_b,match_distance,match_rule,old_quality_score_a,old_quality_score_b,pair_id,plan_a_id,plan_b_id,plan_days,race_phase,readiness,recovery_capability,score_a,score_b,score_bin,score_bin_a,score_bin_b,score_gap,source_model_a,source_model_b,source_temperature_a,source_temperature_b,structural_score_a,structural_score_b,structural_score_gap,structural_score_version
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 2.0, ""mean_day_minutes"": 6.429, ""n_active_days"": 1.0, ""n_hard_days"": 2.0, ""n_long_runs"": 0.0, ""n_quality_days"": 2.0, ""n_rest_days"": 1.0, ""total_minutes"": 45.0}","ab_A1__r_high__rc_high__ph_peak","None","None","12.069","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0010","ab_A1__r_high__rc_high__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s001","ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s009","7","peak","high","high","84.0","84.0","84","84","84","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","84.0","84.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 13.0, ""mean_day_minutes"": 4.286, ""n_active_days"": 0.0, ""n_hard_days"": 2.0, ""n_long_runs"": 2.0, ""n_quality_days"": 2.0, ""n_rest_days"": 0.0, ""total_minutes"": 30.0}","ab_A1__r_high__rc_low__ph_base","None","None","12.946","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0011","ab_A1__r_high__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s016","7","base","high","low","84.3","84.0","84","84","84","0.3","google/gemma-3-4b-it","None","None","None","84.3","84.0","0.3","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 39.0, ""mean_day_minutes"": 10.143, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 0.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 71.0}","ab_A1__r_high__rc_low__ph_base","None","None","6.403","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0012","ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s002","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s010","7","base","high","low","85.9","87.0","86","86","87","1.1","Qwen/Qwen2.5-7B-Instruct","None","None","None","85.9","87.0","1.1","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 1.0, ""mean_day_minutes"": 15.857, ""n_active_days"": 1.0, ""n_hard_days"": 2.0, ""n_long_runs"": 0.0, ""n_quality_days"": 2.0, ""n_rest_days"": 1.0, ""total_minutes"": 111.0}","ab_A1__r_high__rc_low__ph_base","None","None","13.557","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0013","ab_A1__r_high__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s009","7","base","high","low","84.3","84.0","84","84","84","0.3","google/gemma-3-4b-it","None","None","None","84.3","84.0","0.3","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 8.0, ""mean_day_minutes"": 3.857, ""n_active_days"": 0.0, ""n_hard_days"": 2.0, ""n_long_runs"": 1.0, ""n_quality_days"": 2.0, ""n_rest_days"": 0.0, ""total_minutes"": 27.0}","ab_A1__r_high__rc_low__ph_base","None","None","10.777","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0014","ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s004","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s011","7","base","high","low","85.9","87.0","86","86","87","1.1","Qwen/Qwen2.5-7B-Instruct","None","None","None","85.9","87.0","1.1","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 25.0, ""mean_day_minutes"": 3.286, ""n_active_days"": 0.0, ""n_hard_days"": 2.0, ""n_long_runs"": 2.0, ""n_quality_days"": 2.0, ""n_rest_days"": 0.0, ""total_minutes"": 23.0}","ab_A1__r_high__rc_low__ph_base","None","None","13.026","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0015","ab_A1__r_high__rc_low__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s019","7","base","high","low","84.3","83.6","84","84","84","0.7","google/gemma-3-4b-it","None","None","None","84.3","83.6","0.7","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 35.0, ""mean_day_minutes"": 1.0, ""n_active_days"": 1.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 1.0, ""total_minutes"": 7.0}","ab_A1__r_high__rc_low__ph_base","None","None","3.86","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0016","ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s008","7","base","high","low","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 29.0, ""mean_day_minutes"": 3.714, ""n_active_days"": 1.0, ""n_hard_days"": 1.0, ""n_long_runs"": 0.0, ""n_quality_days"": 1.0, ""n_rest_days"": 1.0, ""total_minutes"": 26.0}","ab_A1__r_high__rc_low__ph_base","None","None","8.174","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0017","ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s002","7","base","high","low","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 1.0, ""mean_day_minutes"": 13.571, ""n_active_days"": 2.0, ""n_hard_days"": 0.0, ""n_long_runs"": 2.0, ""n_quality_days"": 0.0, ""n_rest_days"": 2.0, ""total_minutes"": 95.0}","ab_A1__r_high__rc_low__ph_base","None","None","12.191","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0018","ab_A1__r_high__rc_low__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s003","ab_A1__r_high__rc_low__ph_base__prog__exp_t000__s006","7","base","high","low","92.0","90.7","92","92","91","1.3","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","90.7","1.3","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 3.0, ""mean_day_minutes"": 0.0, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 0.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 0.0}","ab_A1__r_high__rc_low__ph_peak","None","None","4.06","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0019","ab_A1__r_high__rc_low__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000","ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s014","7","peak","high","low","87.0","87.0","87","87","87","0.0","google/gemma-3-4b-it","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 7.0, ""mean_day_minutes"": 0.286, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 0.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 2.0}","ab_A1__r_high__rc_low__ph_peak","None","None","4.186","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0020","ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s002","ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s010","7","peak","high","low","87.0","87.0","87","87","87","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 12.0, ""mean_day_minutes"": 5.0, ""n_active_days"": 0.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 0.0, ""total_minutes"": 35.0}","ab_A1__r_high__rc_low__ph_peak","None","None","1.04","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0021","ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s000","ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s008","7","peak","high","low","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 7.0, ""mean_day_minutes"": 6.857, ""n_active_days"": 1.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 1.0, ""total_minutes"": 48.0}","ab_A1__r_high__rc_low__ph_peak","None","None","4.237","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0022","ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s004","ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s004","7","peak","high","low","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 25.0, ""mean_day_minutes"": 0.286, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 0.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 2.0}","ab_A1__r_high__rc_low__ph_peak","None","None","4.546","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0023","ab_A1__r_high__rc_low__ph_peak__qwen2.5_7b_instruct__src_t070__exp_t000__s006","ab_A1__r_high__rc_low__ph_peak__prog__exp_t000__s013","7","peak","high","low","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 7.0, ""mean_day_minutes"": 0.0, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 1.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 0.0}","ab_A1__r_low__rc_high__ph_base","None","None","6.14","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0024","ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s000","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s017","7","base","low","high","87.0","87.0","87","87","87","0.0","google/gemma-3-4b-it","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 5.0, ""mean_day_minutes"": 0.857, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 1.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 6.0}","ab_A1__r_low__rc_high__ph_base","None","None","6.237","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0025","ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s016","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s011","7","base","low","high","87.0","87.0","87","87","87","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 29.0, ""mean_day_minutes"": 0.0, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 1.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 0.0}","ab_A1__r_low__rc_high__ph_base","None","None","6.58","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0026","ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s001","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s005","7","base","low","high","87.0","87.0","87","87","87","0.0","google/gemma-3-4b-it","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 6.0, ""mean_day_minutes"": 0.571, ""n_active_days"": 0.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 0.0, ""total_minutes"": 4.0}","ab_A1__r_low__rc_high__ph_base","None","None","0.211","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0027","ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s013","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s002","7","base","low","high","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 25.0, ""mean_day_minutes"": 0.571, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 1.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 4.0}","ab_A1__r_low__rc_high__ph_base","None","None","6.591","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0028","ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s002","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s019","7","base","low","high","87.0","87.0","87","87","87","0.0","google/gemma-3-4b-it","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 0.0, ""mean_day_minutes"": 5.0, ""n_active_days"": 0.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 0.0, ""total_minutes"": 35.0}","ab_A1__r_low__rc_high__ph_base","None","None","0.8","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0029","ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s015","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s014","7","base","low","high","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 10.0, ""mean_day_minutes"": 9.571, ""n_active_days"": 3.0, ""n_hard_days"": 0.0, ""n_long_runs"": 0.0, ""n_quality_days"": 0.0, ""n_rest_days"": 3.0, ""total_minutes"": 67.0}","ab_A1__r_low__rc_high__ph_base","None","None","10.731","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0030","ab_A1__r_low__rc_high__ph_base__gemma_3_4b_it__src_t070__exp_t000__s003","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s004","7","base","low","high","87.0","87.0","87","87","87","0.0","google/gemma-3-4b-it","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 3.0, ""mean_day_minutes"": 5.0, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 1.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 35.0}","ab_A1__r_low__rc_high__ph_base","None","None","6.86","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0031","ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s022","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s021","7","base","low","high","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 36.0, ""mean_day_minutes"": 1.286, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 1.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 9.0}","ab_A1__r_low__rc_high__ph_base","None","None","6.926","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0032","ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s028","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s001","7","base","low","high","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 56.0, ""mean_day_minutes"": 0.0, ""n_active_days"": 1.0, ""n_hard_days"": 0.0, ""n_long_runs"": 2.0, ""n_quality_days"": 0.0, ""n_rest_days"": 1.0, ""total_minutes"": 0.0}","ab_A1__r_low__rc_high__ph_base","None","None","8.12","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0033","ab_A1__r_low__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s039","ab_A1__r_low__rc_high__ph_base__prog__exp_t000__s006","7","base","low","high","92.0","92.0","92","92","92","0.0","Qwen/Qwen2.5-7B-Instruct","None","None","None","92.0","92.0","0.0","structural_score_v1.0.0"
"None","None","llm","programmatic","A1","None","None","None","None","None","None","{""max_day_minutes"": 4.0, ""mean_day_minutes"": 0.0, ""n_active_days"": 0.0, ""n_hard_days"": 1.0, ""n_long_runs"": 1.0, ""n_quality_days"": 1.0, ""n_rest_days"": 0.0, ""total_minutes"": 0.0}","ab_A1__r_low__rc_high__ph_peak","None","None","6.08","same_full_cell_same_plan_days_structural_score_tolerance_min_weighted_structural_distance","None","None","pair_0034","ab_A1__r_low__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000","ab_A1__r_low__rc_high__ph_peak__prog__exp_t000__s017","7","peak","low","high","87.0","87.0","87","87","87","0.0","google/gemma-3-4b-it","None","None","None","87.0","87.0","0.0","structural_score_v1.0.0"
