arm,athlete_band,fixture_id,max_day_minutes,mean_day_minutes,n_active_days,n_hard_days,n_long_runs,n_quality_days,n_rest_days,plan_days,plan_id,plan_path,race_phase,readiness,recovery_capability,score,session_signature,source_family,source_leaks,source_model,structural_score,structural_score_version,style,style_n_citations,style_n_claim_attributions,style_n_data_notes,style_purpose_chars,style_title_chars,style_workout_chars,total_minutes,violations
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","62.0","31.285714285714285","4.0","0.0","1.0","0.0","3.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s004","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s004.json","base","high","high","95.0","easy:48:0:0|rest:0:1:0|easy:51:0:0|rest:0:1:0|rest:0:1:0|cross:58:0:0|long:62:0:0","programmatic","[]","None","95.0","structural_score_v1.0.0","trailrunning","6.0","6.0","5.0","309.0","62.0","267.0","219.0","[""too_many_rest_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","109.0","44.0","6.0","1.0","1.0","1.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s005","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s005.json","base","high","high","100.0","easy:26:0:0|easy:40:0:0|easy:39:0:0|long:109:0:0|tempo:42:0:1|aerobic:52:0:0|rest:0:1:0","programmatic","[]","None","100.0","structural_score_v1.0.0","trailrunning","10.0","7.0","3.0","354.0","64.0","297.0","308.0","[]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","88.0","46.142857142857146","6.0","0.0","2.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s006","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s006.json","base","high","high","97.0","easy:23:0:0|easy:40:0:0|aerobic:65:0:0|long:73:0:0|rest:0:1:0|long:88:0:0|easy:34:0:0","programmatic","[]","None","97.0","structural_score_v1.0.0","trailrunning","11.0","7.0","3.0","336.0","59.0","294.0","323.0","[""multiple_long_runs""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","47.0","19.142857142857142","4.0","2.0","0.0","2.0","3.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s007","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s007.json","base","high","high","73.857","easy:20:0:0|rest:0:1:0|tempo:47:0:1|rest:0:1:0|cross:31:0:0|tempo:36:0:1|rest:0:1:0","programmatic","[]","None","73.857","structural_score_v1.0.0","trailrunning","6.0","8.0","3.0","340.0","72.0","275.0","134.0","[""missing_long_run"", ""too_many_hard_days"", ""too_many_rest_days"", ""weekly_load_outside_fixture_band""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","54.0","32.714285714285715","5.0","0.0","0.0","0.0","2.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s008","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s008.json","base","high","high","92.0","easy:48:0:0|easy:39:0:0|rest:0:1:0|easy:43:0:0|rest:0:1:0|strength:45:0:0|easy:54:0:0","programmatic","[]","None","92.0","structural_score_v1.0.0","trailrunning","9.0","8.0","5.0","339.0","64.0","267.0","229.0","[""missing_long_run""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","59.0","32.285714285714285","5.0","2.0","0.0","2.0","2.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s009","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s009.json","base","high","high","84.0","hills:59:0:1|easy:33:0:0|rest:0:1:0|easy:53:0:0|rest:0:1:0|hills:46:0:1|easy:35:0:0","programmatic","[]","None","84.0","structural_score_v1.0.0","trailrunning","4.0","8.0","7.0","332.0","64.0","287.0","226.0","[""missing_long_run"", ""too_many_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","50.0","35.714285714285715","6.0","1.0","0.0","1.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s010","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s010.json","base","high","high","92.0","tempo:39:0:1|easy:49:0:0|easy:50:0:0|rest:0:1:0|easy:35:0:0|easy:34:0:0|strength:43:0:0","programmatic","[]","None","92.0","structural_score_v1.0.0","trailrunning","9.0","8.0","6.0","365.0","69.0","281.0","250.0","[""missing_long_run""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","81.0","42.0","6.0","2.0","1.0","2.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s011","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s011.json","base","high","high","92.0","long:81:0:0|cross:41:0:0|cross:33:0:0|tempo:35:0:1|aerobic:64:0:0|tempo:40:0:1|rest:0:1:0","programmatic","[]","None","92.0","structural_score_v1.0.0","trailrunning","7.0","8.0","3.0","345.0","81.0","302.0","294.0","[""too_many_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","77.0","32.857142857142854","5.0","0.0","1.0","0.0","2.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s012","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s012.json","base","high","high","100.0","easy:37:0:0|cross:48:0:0|easy:47:0:0|rest:0:1:0|rest:0:1:0|long:77:0:0|easy:21:0:0","programmatic","[]","None","100.0","structural_score_v1.0.0","trailrunning","5.0","7.0","5.0","322.0","62.0","275.0","230.0","[]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","89.0","40.285714285714285","5.0","1.0","1.0","1.0","2.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s013","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s013.json","base","high","high","100.0","easy:20:0:0|aerobic:76:0:0|tempo:53:0:1|easy:44:0:0|rest:0:1:0|long:89:0:0|rest:0:1:0","programmatic","[]","None","100.0","structural_score_v1.0.0","trailrunning","17.0","12.0","5.0","341.0","64.0","288.0","282.0","[]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","91.0","50.42857142857143","6.0","1.0","2.0","1.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s014","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s014.json","base","high","high","97.0","rest:0:1:0|easy:47:0:0|easy:37:0:0|long:77:0:0|aerobic:52:0:0|long:91:0:0|tempo:49:0:1","programmatic","[]","None","97.0","structural_score_v1.0.0","trailrunning","4.0","13.0","4.0","349.0","64.0","300.0","353.0","[""multiple_long_runs""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","80.0","43.857142857142854","6.0","2.0","2.0","2.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s016","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s016.json","base","high","high","89.0","easy:43:0:0|tempo:41:0:1|long:80:0:0|aerobic:56:0:0|hills:40:0:1|long:47:0:0|rest:0:1:0","programmatic","[]","None","89.0","structural_score_v1.0.0","trailrunning","6.0","5.0","3.0","346.0","68.0","308.0","307.0","[""multiple_long_runs"", ""too_many_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","57.0","36.42857142857143","6.0","2.0","1.0","2.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s017","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s017.json","base","high","high","87.0","hills:51:0:1|hills:43:0:1|easy:57:0:0|easy:20:0:0|long:53:0:0|easy:31:0:0|rest:0:1:0","programmatic","[]","None","87.0","structural_score_v1.0.0","trailrunning","11.0","8.0","5.0","340.0","64.0","299.0","255.0","[""hard_days_too_close"", ""too_many_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","92.0","39.857142857142854","5.0","0.0","1.0","0.0","2.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s018","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s018.json","base","high","high","100.0","rest:0:1:0|long:88:0:0|cross:20:0:0|rest:0:1:0|easy:47:0:0|aerobic:92:0:0|easy:32:0:0","programmatic","[]","None","100.0","structural_score_v1.0.0","trailrunning","7.0","12.0","3.0","317.0","65.0","282.0","279.0","[]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","85.0","44.857142857142854","6.0","2.0","2.0","2.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s019","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s019.json","base","high","high","89.0","tempo:38:0:1|easy:41:0:0|rest:0:1:0|easy:31:0:0|long:79:0:0|tempo:40:0:1|long:85:0:0","programmatic","[]","None","89.0","structural_score_v1.0.0","trailrunning","11.0","7.0","7.0","367.0","66.0","299.0","314.0","[""multiple_long_runs"", ""too_many_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_base","68.0","44.142857142857146","6.0","2.0","0.0","2.0","1.0","7","ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s020","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__prog__exp_t000__s020.json","base","high","high","84.0","easy:48:0:0|cross:58:0:0|intervals:43:0:1|aerobic:68:0:0|rest:0:1:0|intervals:41:0:1|easy:51:0:0","programmatic","[]","None","84.0","structural_score_v1.0.0","trailrunning","11.0","7.0","5.0","315.0","83.0","308.0","309.0","[""missing_long_run"", ""too_many_hard_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","89.0","32.57142857142857","4.0","0.0","0.0","0.0","3.0","7","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s000.json","base","high","high","87.0","rest:0:1:0|easy:41:0:0|easy:49:0:0|rest:0:1:0|easy:49:0:0|easy:89:0:0|rest:0:1:0","qwen","[]","Qwen/Qwen2.5-7B-Instruct","87.0","structural_score_v1.0.0","trailrunning","9.0","7.0","3.0","337.0","56.0","307.0","228.0","[""missing_long_run"", ""too_many_rest_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","45.0","19.285714285714285","4.0","0.0","0.0","0.0","3.0","7","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s001.json","base","high","high","82.0","rest:0:1:0|easy:30:0:0|easy:30:0:0|rest:0:1:0|easy:30:0:0|easy:45:0:0|rest:0:1:0","qwen","[]","Qwen/Qwen2.5-7B-Instruct","82.0","structural_score_v1.0.0","trailrunning","11.0","15.0","3.0","565.0","56.0","267.0","135.0","[""missing_long_run"", ""too_many_rest_days"", ""weekly_load_outside_fixture_band""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","89.0","45.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s002","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s002.json","base","high","high","92.0","easy:38:0:0|easy:41:0:0|easy:49:0:0|rest:0:1:0|easy:49:0:0|easy:89:0:0|easy:55:0:0","qwen","[]","Qwen/Qwen2.5-7B-Instruct","92.0","structural_score_v1.0.0","trailrunning","9.0","12.0","6.0","544.0","56.0","322.0","321.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","45.0","25.714285714285715","4.0","0.0","0.0","0.0","3.0","7","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s003","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s003.json","base","high","high","87.0","rest:0:1:0|easy:45:0:0|easy:45:0:0|rest:0:1:0|easy:45:0:0|easy:45:0:0|rest:0:1:0","qwen","[]","Qwen/Qwen2.5-7B-Instruct","87.0","structural_score_v1.0.0","trailrunning","18.0","14.0","3.0","1171.0","56.0","263.0","180.0","[""missing_long_run"", ""too_many_rest_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","89.0","45.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s004","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s004.json","base","high","high","92.0","easy:38:0:0|easy:41:0:0|easy:49:0:0|rest:0:1:0|easy:49:0:0|easy:89:0:0|easy:55:0:0","qwen","[]","Qwen/Qwen2.5-7B-Instruct","92.0","structural_score_v1.0.0","trailrunning","9.0","8.0","3.0","274.0","56.0","316.0","321.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_base","89.0","40.42857142857143","5.0","0.0","0.0","0.0","2.0","7","ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s005","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_base__qwen2.5_7b_instruct__src_t070__exp_t000__s005.json","base","high","high","92.0","rest:0:1:0|easy:41:0:0|easy:49:0:0|rest:0:1:0|easy:49:0:0|easy:89:0:0|easy:55:0:0","qwen","[]","Qwen/Qwen2.5-7B-Instruct","92.0","structural_score_v1.0.0","trailrunning","7.0","8.0","3.0","357.0","56.0","316.0","283.0","[""missing_long_run""]"
"llm","A1","ab_A1__r_high__rc_high__ph_peak","60.0","40.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s000.json","peak","high","high","84.0","easy:30:0:0|easy:30:0:0|easy:46:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","84.0","structural_score_v1.0.0","trailrunning","9.0","14.0","3.0","685.0","56.0","354.0","286.0","[""missing_long_run"", ""too_few_hard_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_peak","60.0","40.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s001","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s001.json","peak","high","high","84.0","easy:30:0:0|easy:30:0:0|easy:46:0:0|easy:60:0:0|easy:60:0:0|easy:60:0:0|rest:0:1:0","gemma","[]","google/gemma-3-4b-it","84.0","structural_score_v1.0.0","trailrunning","7.0","13.0","3.0","1007.0","56.0","252.0","286.0","[""missing_long_run"", ""too_few_hard_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_peak","60.0","40.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s002","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s002.json","peak","high","high","84.0","easy:30:0:0|easy:30:0:0|easy:46:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","84.0","structural_score_v1.0.0","trailrunning","14.0","14.0","3.0","1081.0","56.0","312.0","286.0","[""missing_long_run"", ""too_few_hard_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_peak","60.0","40.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s003","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s003.json","peak","high","high","84.0","easy:30:0:0|easy:30:0:0|easy:46:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","84.0","structural_score_v1.0.0","trailrunning","9.0","15.0","5.0","541.0","56.0","210.0","286.0","[""missing_long_run"", ""too_few_hard_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_peak","60.0","40.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s004","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s004.json","peak","high","high","84.0","easy:30:0:0|easy:30:0:0|easy:46:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","84.0","structural_score_v1.0.0","trailrunning","16.0","12.0","3.0","529.0","56.0","162.0","286.0","[""missing_long_run"", ""too_few_hard_days""]"
"llm","A1","ab_A1__r_high__rc_high__ph_peak","60.0","40.857142857142854","6.0","0.0","0.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s005","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__gemma_3_4b_it__src_t070__exp_t000__s005.json","peak","high","high","84.0","easy:30:0:0|easy:30:0:0|easy:46:0:0|easy:60:0:0|rest:0:1:0|easy:60:0:0|easy:60:0:0","gemma","[]","google/gemma-3-4b-it","84.0","structural_score_v1.0.0","trailrunning","8.0","14.0","3.0","859.0","56.0","321.0","286.0","[""missing_long_run"", ""too_few_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_peak","68.0","40.857142857142854","6.0","0.0","1.0","0.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s000","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s000.json","peak","high","high","92.0","strength:47:0:0|long:68:0:0|aerobic:30:0:0|easy:50:0:0|rest:0:1:0|cross:36:0:0|easy:55:0:0","programmatic","[]","None","92.0","structural_score_v1.0.0","trailrunning","8.0","7.0","3.0","331.0","73.0","286.0","286.0","[""too_few_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_peak","51.0","29.285714285714285","6.0","2.0","0.0","2.0","1.0","7","ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s001","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s001.json","peak","high","high","79.0","rest:0:1:0|easy:22:0:0|tempo:42:0:1|hills:51:0:1|easy:34:0:0|easy:20:0:0|easy:36:0:0","programmatic","[]","None","79.0","structural_score_v1.0.0","trailrunning","9.0","6.0","3.0","361.0","65.0","293.0","205.0","[""hard_days_too_close"", ""missing_long_run"", ""too_many_hard_days""]"
"programmatic","A1","ab_A1__r_high__rc_high__ph_peak","60.0","28.285714285714285","5.0","1.0","0.0","1.0","2.0","7","ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s002","artifacts/gen_src_t070_exp_t000/matching_pool/plans/ab_A1__r_high__rc_high__ph_peak__prog__exp_t000__s002.json","peak","high","high","92.0","easy:26:0:0|cross:60:0:0|rest:0:1:0|rest:0:1:0|cross:29:0:0|easy:41:0:0|tempo:42:0:1","programmatic","[]","None","92.0","structural_score_v1.0.0","trailrunning","8.0","6.0","3.0","329.0","73.0","277.0","198.0","[""missing_long_run""]"
